time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.0000000000000013,0.16734065827893005,0.7587924198026577,14.056202984345976,0.13271185603676106,6.252552352651193,0.0,0.2865054892120232,1.286393265228985,3.5825648347706496,0.08058737883305288,-0.01511902517424494,0.0,446.5215106848137,447.1289812626669,446.4712130483271,445.19656505179364
2.0200000000000014,0.17314691076487324,0.7848468034199795,14.128360014160808,0.13438900237375062,6.252252887281273,0.0,0.29411975938229645,1.3190450965031981,3.6331381467127093,0.0691507044625731,-0.017533619783813494,0.0,468.35570468898277,467.79206477087354,468.14219481031245,465.4696165691223
2.0400000000000014,0.17911833688565126,0.8116108316043557,14.201917091003988,0.1357866457115673,6.251902694579671,0.0,0.303022852695505,1.3573577219344224,3.7225695376052896,0.0637415920463956,-0.016554136170073855,0.0,500.80926084154993,501.0230638178091,502.71207901527305,501.53784805232664
2.0600000000000014,0.18524161252851554,0.8390272216225844,14.276400592404434,0.137089187787498,6.251571844406627,0.0,0.30930471159092465,1.384281279888454,3.725780602439253,0.07118608464202227,-0.017236119097070374,0.0,424.02666374574665,423.85092501237267,423.0278292130479,424.9499259125799
2.0800000000000014,0.1914886748780327,0.8669736766079549,14.35086939100131,0.13851599405888582,6.251232018298376,0.0,0.31540152336079347,1.4103642186485987,3.72109925724841,0.07366986343544396,-0.014106814480913586,0.0,416.35981582681995,417.18046830344355,415.2381177151866,415.89559974344354
2.1000000000000014,0.19785528465612584,0.8954312357944978,14.425150071761921,0.13999881856291196,6.250954283747284,0.0,0.3212594544485213,1.4353917000056937,3.706968818812711,0.078012036927435,-0.017073879874781085,0.0,406.09655772718537,405.2973541032811,406.83509387743567,408.0046457210892
2.1200000000000014,0.20436777416730165,0.9245140066851032,14.50001445157199,0.1416628762735126,6.250616478631445,0.0,0.3299894966690566,1.4728853890548463,3.779469162194377,0.06360252811887156,-0.019784039153057688,0.0,488.0497886311702,487.4426547619205,489.7198863194324,486.49792077743314
2.1400000000000015,0.21103403375623947,0.9542567456600692,14.575667660414075,0.14294860974225188,6.250221463253013,0.0,0.33663646222472365,1.5013885084417637,3.785851722013974,0.06883376245923196,-0.020937646216888116,0.0,427.7771726053076,427.48236251521246,427.3859683511234,428.7247002411427
2.1600000000000015,0.21784994296419058,0.9846407003587342,14.65192573151357,0.14434381912641658,6.249802791910536,0.0,0.3449544585703863,1.5370069614247353,3.839955387935653,0.07492213415942822,-0.021341581510187523,0.0,472.9064823353515,472.81316369864174,471.48968225160166,472.9020730077301
2.1800000000000015,0.22483154872243483,1.0157329445977217,14.729214602865733,0.14584385383688048,6.249381995661279,0.0,0.3532061172540381,1.5722174624740153,3.8889317472806986,0.07313774223211572,-0.01786728130809834,0.0,468.8039186023637,469.61317213379033,467.81511717476513,467.40217334293123
2.2000000000000015,0.23197527890331296,1.047515940716567,14.807367129371544,0.14735593723519358,6.249041435023081,0.0,0.36116690083377523,1.606082149410526,3.9263209033002746,0.06320511381155315,-0.023661241605354776,0.0,458.9438890318772,457.5621736644648,459.5991616752613,457.2351641356278
2.2200000000000015,0.2392656374669661,1.079922045045541,14.885879419540265,0.14863153981246668,6.248568823035924,0.0,0.36786895553153937,1.6345282834868498,3.9249081135718664,0.058409219517075665,-0.02255413280191809,0.0,421.5074657193642,421.794332723174,422.1995347347708,420.9593765127295
2.2400000000000015,0.24670109227242237,1.1129426761032295,14.964652498081461,0.1498032868308652,6.2481359958057645,0.0,0.375676525014089,1.6675348222820243,3.9523997405477793,0.05573990198000424,-0.028596553819787263,0.0,450.31154099268673,448.8426470767519,449.95891949091975,449.3124414688801
2.2600000000000016,0.2542948788915867,1.1466309900408267,15.044009190219521,0.15092084112154325,6.2475726189559975,0.0,0.38370213690233956,1.7012965714776869,3.9832694732580674,0.05339203014461859,-0.02446031721437383,0.0,452.21456929699957,453.21288246202266,453.6594562482024,453.09552369980173
2.2800000000000016,0.26204149117916387,1.1809589833179328,15.12373395910761,0.1520177396926634,6.2470884544526,0.0,0.3909590918553795,1.7315027562329315,3.989207415550886,0.04576864923746216,-0.02763579856059284,0.0,430.4958531803118,429.68882525323096,430.05331641870663,428.1135675978545
2.3000000000000016,0.2699250621865773,1.2158546645900346,15.203326437979188,0.1529372196581109,6.246535815037632,0.0,0.39739800888596377,1.7580653709772518,3.97004047160691,0.04290264829585722,-0.028027094471172898,0.0,404.9291336456711,404.82323445277717,404.2526103340229,403.4784763981814
2.3200000000000016,0.27794916816970233,1.2513277465148307,15.282825840050272,0.15379579290475576,6.245982078079358,0.0,0.4050125894265417,1.7892428215023726,3.979899735501436,0.0418825691537983,-0.03171624915754072,0.0,433.46634255389426,432.5349607026621,434.0530996401112,433.7972398307209
2.3400000000000016,0.2861253829831559,1.2874204190040899,15.362486943256872,0.15464879016151478,6.245356238768371,0.0,0.41260889191881034,1.8200244274235595,3.9862105851585534,0.03634255585363968,-0.027596620008101154,0.0,429.26093762776196,430.30813095929756,431.22702758600144,429.8216694369739
2.3600000000000017,0.29447699377811565,1.3242205177495916,15.44285351675091,0.15538241686665177,6.244836038797475,0.0,0.42255218757716234,1.8599854471266069,4.050446764245197,0.040023748069319506,-0.019630136559849014,0.0,482.29037100170063,484.09209927749123,483.7423826175834,484.57380625210584
2.3800000000000017,0.3030084817370795,1.361739384561975,15.523980570403323,0.1561893505322054,6.244457987727786,0.0,0.43059660831921925,1.89190123411173,4.062258600996012,0.04361782769207167,-0.025024886138645865,0.0,436.9517936756827,435.6003882779071,435.7164148377359,436.61784252111704
